episode,wave,rewards,equity,actor_loss,critic_loss,lr,v_viol,line_ovld,power_loss,shock_pct,steps_survived,g_V,g_T,g_G,g_C,lambda_V,lambda_T,lambda_G,lambda_C,max_v_dev,n_violations,max_loading
55,1,300.96155139958097,99.45539158646778,-0.08320140838623047,0.3119874894618988,0.0001,11.575268817204302,0.0,0.0,0.0,186,0.023969676345586777,3.7078580135130323e-06,0.1349015235900879,0.36713486909866333,0.00042373151470641697,2.0795361895915484e-06,0.0023330616125513464,0.006174536797053242,0.5902150532891673,11.575268817204302,0.8085590956672546
56,1,255.71383870509908,99.36416006987949,-0.08320140838623047,0.3119874894618988,0.0001,12.685534591194969,0.0,0.0,0.0,159,0.025567157194018364,0.00026088044978678226,0.13645435869693756,0.3735266625881195,0.000423731514706417,2.079536189591549e-06,0.002333061612551346,0.006174536797053243,0.5993364779454358,12.685534591194969,0.8445537184019508
57,1,3.960993120468522,74.99383735656738,-0.08320140838623047,0.3119874894618988,0.0001,37.75,0.0,0.0,0.0,4,0.15950508415699005,0.0023022531531751156,0.1343754678964615,0.2178625911474228,0.0004237315147064169,2.0795361895915492e-06,0.002333061612551346,0.0061745367970532416,0.6909999996423721,37.75,0.8984093964099884
58,1,3.9900773302105694,74.99383735656738,-0.08320140838623047,0.3119874894618988,0.0001,37.75,0.0,0.0,0.0,4,0.15950508415699005,0.0023022531531751156,0.1287451684474945,0.22472020983695984,0.0004237315147064169,2.0795361895915492e-06,0.002333061612551346,0.0061745367970532416,0.6909999996423721,37.75,0.8984093964099884
59,1,258.35835126228795,99.3681203365326,0.18121306598186493,0.7242088913917542,0.0001,11.70625,0.0,0.0,0.0,160,0.024484312161803246,0.00034436979331076145,0.1355610191822052,0.3670901656150818,0.0004237315147064169,2.079536189591549e-06,0.0023330616125513464,0.006174536797053242,0.5905749995261431,11.70625,0.8539473935961723
60,1,434.14602569721296,99.61683915790759,0.18121306598186493,0.7242088913917542,0.0001,11.469924812030076,0.0,0.0,0.0,266,0.023002026602625847,4.67223726445809e-05,0.13572964072227478,0.3561075031757355,0.00044840532918350486,2.288670042328156e-06,0.0024562182351142102,0.006519293815588611,0.5906121455188981,11.469924812030076,0.8297717008823738
61,1,425.1755153583182,99.6068089606679,0.06179874762892723,0.33452290296554565,0.0001,11.617760617760618,0.0,0.0,0.0,259,0.023240137845277786,3.6781118978979066e-05,0.13602188229560852,0.36386337876319885,0.00044840532918350486,2.288670042328156e-06,0.0024562182351142102,0.006519293815588611,0.5979458070629812,11.617760617760618,0.8530114484109473
62,1,4.0627995295959805,74.99317359924316,0.06179874762892723,0.33452290296554565,0.0001,37.75,0.0,0.0,0.0,4,0.15962748229503632,0.0015815688529983163,0.13968883454799652,0.20908021926879883,0.00046913329703925994,2.408456545427582e-06,0.0025791042877226955,0.006840361412379175,0.6909999996423721,37.75,0.8668226897716522
63,1,262.28549352835284,99.38360577094846,0.06179874762892723,0.33452290296554565,0.0001,11.652439024390244,0.0,0.0,0.0,164,0.024422604590654373,8.76401600180543e-07,0.1368159055709839,0.37755200266838074,0.00046913329703925983,2.408456545427582e-06,0.0025791042877226955,0.006840361412379175,0.5905121946480216,11.652439024390244,0.8261740752836553
64,1,3.9317146558882676,74.99283218383789,0.06179874762892723,0.33452290296554565,0.0001,37.75,0.0,0.0,0.0,4,0.15932223200798035,0.0024305549450218678,0.13469889760017395,0.21418210864067078,0.00046913329703925994,2.408456545427582e-06,0.0025791042877226955,0.006840361412379175,0.6909999996423721,37.75,0.897405743598938
65,1,537.4133956307888,99.68388025260266,-0.20679481327533722,0.20437853038311005,0.0001,12.54320987654321,0.0,0.0,0.0,324,0.02425600215792656,3.854681926895864e-05,0.13699141144752502,0.3328916132450104,0.0004691332970392599,2.408456545427582e-06,0.0025791042877226955,0.006840361412379175,0.6099214603503545,12.54320987654321,0.8841705603732003
66,1,140.3870917663587,98.77249322286467,-0.20679481327533722,0.20437853038311005,0.0001,12.524390243902438,0.0,0.0,0.0,82,0.028213100507855415,8.30701319500804e-05,0.1353566199541092,0.2812911570072174,0.0004925527840576075,2.4574256078316557e-06,0.0027019834676017965,0.007148511096131166,0.5963569159914808,12.524390243902438,0.9262685899327441
67,1,4.047021078951603,74.9937744140625,-0.20679481327533722,0.20437853038311005,0.0001,37.75,0.0,0.0,0.0,4,0.15951420366764069,0.0007808447116985917,0.12417899072170258,0.22697775065898895,0.0004925527840576075,2.457425607831656e-06,0.002701983467601796,0.007148511096131168,0.6909999996423721,37.75,0.8256703913211823
68,1,153.7626346565307,98.86895280473688,-0.20679481327533722,0.20437853038311005,0.0001,13.191011235955056,0.0,0.0,0.0,89,0.028223155066370964,0.0001355065032839775,0.13711877167224884,0.2711709141731262,0.0004925527840576074,2.4574256078316557e-06,0.002701983467601796,0.007148511096131167,0.5957891465572829,13.191011235955056,0.9225921979111232
69,1,64.14544384047294,97.48982791900634,-0.20679481327533722,0.20437853038311005,0.0001,14.125,0.0,0.0,0.0,40,0.0354134738445282,9.394566586706787e-05,0.13430796563625336,0.30485987663269043,0.0004925527840576075,2.457425607831656e-06,0.002701983467601796,0.007148511096131167,0.6049280196428299,14.125,0.8995569407939911
70,1,3.977427770162883,74.99423217773438,-0.20679481327533722,0.20437853038311005,0.0001,37.75,0.0,0.0,0.0,4,0.15962429344654083,0.0010491956491023302,0.1450788378715515,0.2111859917640686,0.0004925527840576075,2.457425607831656e-06,0.002701983467601796,0.007148511096131168,0.6909999996423721,37.75,0.8400199711322784
71,1,3.965561633337269,74.99421501159668,-0.20679481327533722,0.20437853038311005,0.0001,37.75,0.0,0.0,0.0,4,0.15950262546539307,0.0032057813368737698,0.13965199887752533,0.23431573808193207,0.0004925527840576075,2.457425607831656e-06,0.002701983467601796,0.007148511096131168,0.6909999996423721,37.75,0.9382118880748749
72,1,122.10561773540874,98.62201617515251,-0.20679481327533722,0.20437853038311005,0.0001,12.712328767123287,0.0,0.0,0.0,73,0.028975412249565125,7.169292803155258e-05,0.13674871623516083,0.3067772090435028,0.0004925527840576074,2.457425607831656e-06,0.002701983467601796,0.007148511096131167,0.5972858406093022,12.712328767123287,0.9029302670531076
73,1,122.62041694683782,98.56255656651088,-0.20679481327533722,0.20437853038311005,0.0001,13.642857142857142,0.0,0.0,0.0,70,0.03035394847393036,4.4438522309064865e-05,0.136267751455307,0.2531518042087555,0.0004925527840576077,2.4574256078316553e-06,0.0027019834676017974,0.007148511096131169,0.6087631659848349,13.642857142857142,0.9267527324812753
74,1,66.3603055739045,97.21184921264648,-0.20679481327533722,0.20437853038311005,0.0001,14.472222222222221,0.0,0.0,0.0,36,0.037086281925439835,0.00016403959307353944,0.13594116270542145,0.13272425532341003,0.0004925527840576075,2.4574256078316565e-06,0.002701983467601796,0.007148511096131167,0.6068656692902247,14.472222222222221,0.9723992761638429
